第一個星期三,,,,第三個星期三,,,,買價內兩檔Put,買價外兩黨Call
到期月份,履約價,Call,Put,到期月份,履約價,Call,Put,,
201001,8500,55,235,201001,8500,0.2,286,2550,-2740
201003,7800,46.5,234,201003,7800,43,0.2,-11690,-175
201004,8300,35.5,210,201004,8300,0.1,323,5650,-1770
201005,7900,47,286,201005,7900,0.2,325,1950,-2340
201007,7600,58,210,201007,7600,86,0.2,-10490,1400
201008,8100,32,218,201008,8100,0.1,182,-1800,-1595
201009,7800,32.5,203,201009,7800,353,0.2,-10140,16025
201010,8500,24,250,201010,8500,0.2,379,6450,-1190
201011,8500,39,215,201011,8500,0.2,257,2100,-1940
201012,8700,39.5,191,201012,8700,27.5,0.1,-9545,-600
201101,9000,34.5,196,201101,9000,84,0.1,-9795,2475
201103,8800,40,238,201103,8800,0.1,494,12800,-1995
201104,9000,36,196,201104,9000,0.1,207,550,-1795
201105,9100,42,209,201105,9100,0.1,166,-2150,-2095
201106,9300,18.5,230,201106,9300,0.2,494,13200,-915
201107,8900,21.5,229,201107,8900,0.3,203,-1300,-1060
201108,8600,54,215,201108,8600,0.1,446,11550,-2695
201109,7700,86,249,201109,7700,0.2,163,-4300,-4290
201110,7200,116,327,201110,7200,130,0.1,-16345,700
201111,7800,66,258,201111,7800,0.2,401,7150,-3290
201112,7300,55,300,201112,7300,0.2,345,2250,-2740
201201,7300,78,308,201201,7300,0.1,92,-10800,-3895
201202,7700,34,212,201202,7700,305,0.2,-10590,13550
201203,8100,35,240,201203,8100,0.1,121,-5950,-1745
201205,7900,21,243,201205,7900,0.2,645,20100,-1040
201206,7200,61,248,201206,7200,110,0.1,-12395,2450
201207,7500,17,228,201207,7500,0.2,438,10500,-840
201208,7400,22,229,201208,7400,67,0.1,-11445,2250
201209,7500,34,192,201209,7500,266,0.1,-9595,11600
201210,7900,18.5,215,201210,7900,0.1,440,11250,-920
201211,7500,14.5,260,201211,7500,0.2,416,7800,-715
201212,7900,12.5,259,201212,7900,0.2,238,-1050,-615
201301,8000,15.5,241,201301,8000,0.1,280,1950,-770
201302,8100,6.1,204,201302,8100,0.1,77,-6350,-300
201303,8100,17,173,201303,8100,0.2,305,6600,-840
201304,8100,8.5,165,201304,8100,0.1,290,6250,-420
201306,8300,25.5,180,201306,8300,0.1,282,5100,-1270
201307,8000,21,212,201307,8000,241,0.1,-10595,11000
201309,8300,17,245,201309,8300,0.2,62,-9150,-840
201310,8400,10.5,252,201310,8400,0.2,55,-9850,-515
201311,8500,10.5,240,201311,8500,0.2,281,2050,-515
201312,8600,17.5,182,201312,8600,0.1,260,3900,-870
201402,8400,30,189,201402,8400,156,0.2,-9440,6300
201403,8800,8.9,188,201403,8800,0.1,104,-4200,-440
201404,9100,4,249,201404,9100,0.3,146,-5150,-185
201405,9000,16.5,177,201405,9000,0.1,141,-1800,-820
201406,9300,3.9,202,201406,9300,1.3,0.1,-10095,-130
201407,9600,12,207,201407,9600,0.2,117,-4500,-590
201408,9300,16,218,201408,9300,0.1,25.5,-9625,-795
201409,9600,23.5,174,201409,9600,0.1,428,12700,-1170
201410,9200,16,236,201410,9200,0.2,555,15950,-790
201411,9200,21.5,234,201411,9200,0.1,245,550,-1070
201412,9400,25,212,201412,9400,0.2,545,16650,-1240
201501,9200,35.5,192,201501,9200,109,0.3,-9585,3675
201503,9800,13,194,201503,9800,0.1,167,-1350,-645
201504,9700,15,207,201504,9700,0.2,179,-1400,-740
201505,10000,38,190,201505,10000,0.2,332,7100,-1890
201506,9700,37,190,201506,9700,0.1,520,16500,-1845
201507,9500,27.5,235,201507,9500,0.1,471,11800,-1370
201508,8700,38,215,201508,8700,0.1,700,24250,-1895
201509,8100,105,265,201509,8100,218,0.1,-13245,5650
201510,8700,25.5,233,201510,8700,0.1,84,-7450,-1270
201511,9100,30,250,201511,9100,0.1,-,0,-1495
201512,8700,33.5,283,201512,8700,0.2,500,10850,-1665
201601,8200,45.5,273,201601,8200,0.2,497,11200,-2265
201602,8200,28.5,196,201602,8200,12,0.2,-9790,-825
201603,8700,27,210,201603,8700,0.2,9,-10050,-1340
201604,8700,26.5,265,201604,8700,0.1,181,-4200,-1320
201605,8400,19,241,201605,8400,0.2,251,500,-940
201606,8800,10,250,201606,8800,0.1,198,-2600,-495
201607,8700,20,251,201607,8700,303,0.2,-12540,14150
201608,9100,45,212,201608,9100,21,0.2,-10590,-1200
201609,9500,11.5,261,201609,9500,0.2,279,900,-565
201610,9400,32.5,192,201610,9400,0.1,119,-3650,-1620
201611,9400,25.5,265,201611,9400,0.2,417,7600,-1265
201612,9500,9.2,246,201612,9500,0.2,267,1050,-450
201701,9500,9.4,238,201701,9500,0.1,160,-3900,-465
201703,9900,17.5,235,201703,9900,0.1,167,-3400,-870
201704,10400,3,464,201704,10400,0.2,730,13300,-140
201705,10200,5.3,267,201705,10200,0.1,200,-3350,-260
201706,10600,1.4,409,201706,10600,0.1,231,-8900,-65
201707,10500,19,220,201707,10500,0.1,0.2,-10990,-945
201708,10700,6.2,254,201708,10700,0.1,467,10650,-305
201709,10700,21.5,201,201709,10700,0.1,190,-550,-1070
201711,11000,14.5,207,201711,11000,515,0.1,-10345,25025
201712,10600,27.5,242,201712,10600,0.1,103,-6950,-1370
,,,,,,,獲利,-51720,29095
,,,,,,,期間最大損失,-16345,-4290
,,,,,,,期間最大獲利,24250,25025
